ID,TRANSCRIPT
3080-5040-0002,CHSSSS SCHSCH SHE SSTIONSSSSCH
3080-5040-0024,S TOSSS S TOSSSSSCHSSTION
3080-5040-0012,CHS SSCHS STS
3080-5040-0032,SS TO TOS SSSSSCHS S S TOSDS
3080-5040-0022,CHCHCHSCH TOS S TOPSSSS TOT TOSSSS
3080-5040-0000,SCHSSSER
3080-5040-0009,S
3080-5040-0025,S TOSSSLSSSSCHS BSSTSS
3080-5040-0006,S FS THES TOSTSS
3080-5040-0020,TOSSSS
3080-5040-0023,S
3080-5040-0005,ERSSSSSP THESSS
3080-5040-0026,THES SS S
3080-5032-0019,TOSSCHS THESS THE SSCHSS TOSSSSS TO S S SSTS ANDS
3080-5032-0006,S BSSS THE SS PSS F TOSS SSSSCH FS
3080-5032-0025,SSSSSS FSSSS
3080-5032-0023,TOSTION
3080-5032-0001,CHSP S SS
3080-5032-0024,SSS TO SS S TOEDSSS
3080-5032-0021,TO SSCHSS AND THESCHST
3080-5032-0018,WSSSCHSS AND TOSSSCHSSSSTCH TO S SSSSSPSSSSSSSSSSS
3080-5032-0004,THES SSPSSSS
3080-5032-0002,S SSCHSSSSSCHS
3080-5032-0005,ANDS S TO SCHSSCH S S TO SS
3080-5032-0020,THETSCH
3080-5032-0026,THECHSCHSS TOSSSS
3080-5032-0016,SSSS
3080-5032-0008,S SS TCHSS ANDSS
3080-5032-0011,S S TOSPS ANDSCHS SSS
3080-5032-0013,SS SSS AND S SCHS THES SSS
3080-5032-0000,SSCH ST S
3080-5032-0012,SS SCH TOS SSSS S TOSSTSPSS SCH
3080-5032-0022,S SDS S AND SSSCHSS
3080-5032-0003,SSP
3080-5032-0009,SSS TOS AND SCHSSERSCH THESS SSS SSSCHSSSS
3080-5032-0007,SSS S THEDSSS ANDSSSSSCH SSCHS
3080-5032-0014,SSSTS
3080-5032-0010,SSP
3080-5032-0017,CHSPS BSSSSSST
3080-5032-0015,CHSSSS SSS SS TO SSSSS THECHS S SSSCHS
2803-154328-0011,THE THEPS B THE PSDT
2803-154328-0008,PS TO THEP PD B TOP
2803-154328-0021,ANDS STSS
2803-154328-0004,THEERPP TOSPPP TOTP TO FL TO
2803-154328-0017,THE THES THEPSS WSPS THE TOTT
2803-154328-0010,THES TO THE THES B
2803-154328-0003,ST THES S THE B S P THESPED TS B BP
2803-154328-0013,THES S FTSPP
2803-154328-0016,TOT
2803-154328-0002,THETD
2803-154328-0014,SS
2803-154328-0001,THE THE TO THE
2803-154328-0019,FS S BSPPPD THEPLS THEL
2803-154328-0007,FPPSP
2803-154328-0023,CHSED SP B
2803-154328-0012,THE S THE SS THEPSP STPS
2803-154328-0009,B THE FS B THE F WPP
2803-154328-0022,S S TOT
2803-154328-0015,S THEL THE HEPPS THE TOT TSSPSPP THES THE
2803-154328-0000,THEPT T TOS B THES THEPPP
2803-154328-0006,B W F
2803-154328-0020,S B BP B W TO B S THEP TOSS THESP PPS
2803-154328-0018,THE F P THE BS THE P B THE BPRTPERSPERCHS S F BPTP
2803-154328-0005,THED
2803-161169-0002,PCHSP
2803-161169-0013,THE THES P B T THE THE S TO THE TOP B THE B B THE
2803-161169-0006,PTSD THE W
2803-161169-0003,THESSS THEST THESP THES
2803-161169-0001,THES WP TO THE BS THESD S
2803-161169-0012,THEPERER THESS THE AND F THESPS ANDSPST F
2803-161169-0016,PSS W BSP
2803-161169-0017,S BP THE THES BPSPP
2803-161169-0005,THE THET BLS B W F THE BTS TO BS
2803-161169-0008,THE STP THE P THE THE THESP THEP TOSP
2803-161169-0009,F THESSP THE B THE THE AND THE ANDT THEP SER THEPSP
2803-161169-0010,FP BERL AND S THE ANDERP THEPSS TOP
2803-161169-0004,THE BPP BPP FSP THE THE W THET THE
2803-161169-0015,SP THEERS TOPP W WPSP
2803-161169-0007,T THEP B P BP B TO TOP BD
2803-161169-0014,THE B BS PR THEPP T THEP THE
2803-161169-0000,P P THELST TOTP THEPP
2803-161169-0011,THE THE T B TPD TOP
2803-154320-0010,T PS
2803-154320-0005,S THE W SP THE BS
2803-154320-0013,BS TO THE
2803-154320-0000,PS THESPPSSS P THE
2803-154320-0006,PT
2803-154320-0001,THEPS TOP PS B THEPP SPER SSP FSP THE B
2803-154320-0012,W THEP BSP THE TOPSSPSPCHS S THE
2803-154320-0009,ANDSP THECH
2803-154320-0007,THEDPS SS
2803-154320-0003,THES SSPSP THES TO TOT
2803-154320-0011,TT THET THE
2803-154320-0004,SP BS THE THESPPSS TOS FPP THEP
2803-154320-0008,F
2803-154320-0014,SS THES S P THE BT
2803-154320-0002,THE THEPS
3170-137482-0031,STSS AND TOSCHSSSS THESS SS TOSSPS THES TO
3170-137482-0036,THESCH SS THE TOL SSSCH THESS
3170-137482-0010,THE PS THE TO TOS THECHSCHSCHSSSSS
3170-137482-0037,ANDS THESSS T
3170-137482-0030,THE TSSTSSSSSS
3170-137482-0038,SCHCH THECH THED PSERS THE SS ANDCH
3170-137482-0003,SSS THESPTION SS THE THE SSSSS ANDSCHSSSSCH THES THESPSS TO
3170-137482-0005,AND THES THE B S AND THECHSCH THESTCHS
3170-137482-0022,CH THESERSP ANDERS W TOST S TOSSS TO THE FRSS AND THESST
3170-137482-0000,CH THE TO TOCH THES THE SL TOS THE SY TO THE AND THE THES TS THETPSS THE T SCHSER S S THESCH THESRCHEDS THE HE TOSS SSS TO
3170-137482-0040,THE THE FS ANDCH THE THE THET AND S THECHDS THE TOPSSSSS
3170-137482-0046,S SSCH SS ANDCH TSS
3170-137482-0023,SS SSCH THECH THEP S THESPS
3170-137482-0042,ANDSSSSSCHCH THESS ANDSCHS THESS
3170-137482-0016,TS SS T THE THE TOT
3170-137482-0035,THESCH TO THES S TO THES B TO PS
3170-137482-0024,BTSS THE SSS THE
3170-137482-0034,S THES S S THES AND THECH SS THE
3170-137482-0032,SSS
3170-137482-0012,ANDCHTSS T TO
3170-137482-0014,THE TSS
3170-137482-0045,T TO
3170-137482-0028,THE STIONS THE
3170-137482-0013,SSS
3170-137482-0001,S THEPSL BCHSP TOSSTION ANDS THES S THESSSP THE THES SSSSLS S
3170-137482-0033,THE TOSSP
3170-137482-0002,ANDL THES BTION ANDSS THECH SERCHCHS TOPERSCHSS THETION S THES THESSSSSCHS
3170-137482-0041,THECHS THEPTT THECHSPSS
3170-137482-0048,TSSS THE THESCH
3170-137482-0039,THE SSSSS THESL SPERSEDCS THES ANDT THESS SS THEL SPS THE
3170-137482-0004,SSSSSSS THES
3170-137482-0006,AND SSCHSSS TOSS FS
3170-137482-0020,T SS THE THE S THES
3170-137482-0043,CHL THECHS THET TO TOS S
3170-137482-0029,S
3170-137482-0015,CHTCH THES THESPS
3170-137482-0047,HE THECHS THECHS THECHCHDPSS
3170-137482-0011,TION THEST TO ANDSCHSCH S SS TOS
3170-137482-0025,S TOSSTSS SS
3170-137482-0008,THESSPCH TOSSS
3170-137482-0009,THE SPCHS THES THES THESTSS
3170-137482-0019,THETSSSDSS THECH
3170-137482-0027,THE SCHS F SS THE THE TOCH TCHS TOTION
3170-137482-0044,SS TO THES TOP THE S TOCH THEED SS THE THESPS F THELS THES
3170-137482-0018,S TDSSP FS THES
3170-137482-0017,SCH THE TO THE S TOST THESS THE THE TO SSSP THE
3170-137482-0021,THES THEL SSPSSSP S THES
3170-137482-0007,AND T TOCHCH FLCH S S THE THES TO ANDS THEPS S THEING THE TOSS S THEPS
3170-137482-0026,S ANDS BSSS ANDSS THE TO THEYDS
6295-64301-0023,SCH THE THEP THEY TO PSS TO T S THES OFDS THES
6295-64301-0032,THE SS
6295-64301-0031,S TCHER TO F S SSP
6295-64301-0021,D THE FCHPS S
6295-64301-0015,S SPSTS TOT
6295-64301-0024,THESPS S P
6295-64301-0008,THE SSS
6295-64301-0001,ANDSCHP
6295-64301-0003,PSSS TOS TOSS THES
6295-64301-0005,THESP SD THE
6295-64301-0022,SD TOLSSS TOS B FT
6295-64301-0009,SSS
6295-64301-0027,S TOCSSSS THE
6295-64301-0018,BS T S SSSSPSPP
6295-64301-0000,THE SSSS THE THESS THE THE TS S THES ANDS S TOSPSSPCH
6295-64301-0028,TO S B TOSSS THE SMSPL THE F
6295-64301-0014,THE S THES S
6295-64301-0010,THES THE S S TOD FSCHP F
6295-64301-0004,SPS
6295-64301-0026,THECHP SS TO THE SS THESSPS TO SS ANDSSS
6295-64301-0016,THECHST S TOSC
6295-64301-0019,D THECHS THETP B
6295-64301-0029,TO S THESSCH P THEP TO TO S SDSLS
6295-64301-0007,TOSS F SS
6295-64301-0020,S THES SCH TOPS THESSSCH
6295-64301-0017,CHSERCH TOS
6295-64301-0025,SBDP THES FS THES
6295-64301-0012,THESS TOSS THESCH
6295-64301-0006,S SS THES SSLS
6295-64301-0002,SCHSSSSSP
6295-64301-0013,SS S OFS TS
6295-64301-0011,F SSPSS TCHSSCHS THES
6295-64301-0030,SSP THESS TO
6295-244435-0011,THESSP
6295-244435-0015,LSSS
6295-244435-0031,SSSS S TOST
6295-244435-0001,S THESS T SSL SS
6295-244435-0004,THESL SERSS BSS TO TO S THES S THEPSS SS THE
6295-244435-0010,CHSPS THES TO ST FS BS TOSS
6295-244435-0025,AND P TOS THES THESTION
6295-244435-0000,SHES
6295-244435-0014,THES
6295-244435-0034,S TOSL
6295-244435-0030,THE BSP TO SYS
6295-244435-0028,S TOS S
6295-244435-0017,PPTION S THESS TOP THES TOSP
6295-244435-0037,PSSS SHESCHSSCHS
6295-244435-0020,SS THESSSS SPP
6295-244435-0008,THES TO ANDSPSSS THE TOS SPP TOSSS PS
6295-244435-0027,THESS
6295-244435-0039,SSPS THES TOSSS AND TSSPS
6295-244435-0036,SSSPS TOSCHS TO SSSSS
6295-244435-0029,THE FSSSSSSSP
6295-244435-0022,SCHS SS BS SD
6295-244435-0023,ANDS FSP S
6295-244435-0035,THESSS
6295-244435-0003,THESPCH
6295-244435-0019,SSS TOP TOT
6295-244435-0033,ANDSSPSSS THE TOS BSS SS T TO
6295-244435-0002,SSSSS
6295-244435-0006,CHSSPT
6295-244435-0021,SP
6295-244435-0012,CHSS FS SSS
6295-244435-0026,THESS THE THES
6295-244435-0018,TOS SSSSL
6295-244435-0013,S TSST SSS
6295-244435-0032,S PSPSS
6295-244435-0016,TSSPS TO PS THESSS
6295-244435-0038,SPS SLSSS P FSSP
6295-244435-0024,SPSSPDSS
6295-244435-0009,THEPLSPT THECHSS THET FSSSCH
6295-244435-0005,THE FYSPSS TOSS
6295-244435-0040,S THESSP
6295-244435-0007,LSS T THES THES
8842-302203-0007,FSS FP
8842-302203-0002,SPSSCHSCHTS ANDSSS TO TEDSSS
8842-302203-0006,SPS S ANDSSPS TO
8842-302203-0004,CH SCH THE TOCHPP SSSRTS THES
8842-302203-0001,SCHSS TO SSS SPSCHPP
8842-302203-0003,SPS SCH
8842-302203-0009,THE S TOSCHTSSS SCHTCHS S
8842-302203-0005,ANDS TOSSCHSS SS TOERL
8842-302203-0010,SCH TOSSCHCHSS SSCHSCHS SPS
8842-302203-0008,SPTSCHS B THESPSCH
8842-302203-0000,S SSSS F SS ANDCHSCHCH PCHS ST
8842-302203-0011,SCH S THE THE FCHSS
8842-302201-0003,SS WSSPSS
8842-302201-0009,SS BCH THE S
8842-302201-0012,PSCHSS TO
8842-302201-0001,SSSSS ANDSS THECH TO TOP
8842-302201-0000,TO S BS BSPSSCHCHSS SS FS
8842-302201-0008,SSTIONSS S FP
8842-302201-0011,SSSS SSS
8842-302201-0010,THESS THE
8842-302201-0013,SSS BSS S
8842-302201-0015,SSCHSSCH TO SS S THE
8842-302201-0004,SS F SS SS SS
8842-302201-0002,SS TO F TOS S FSS SS FSSS
8842-302201-0014,SS THE SSS TOS S ANDSCHS SS SSSSSS SS SHE S S
8842-302201-0007,SCHSSCHR
8842-302201-0005,ANDSCHSCHPS S TOS THE SSS S
8842-302201-0006,SSSS TOCHS FCHSCH S THESCH
8842-302196-0010,SSCH TS TOCHSSSSS
8842-302196-0001,THE SCHDSCHS S S THE SL THE SSSS SSSSS
8842-302196-0009,S ANDSPS SS FD TOSS SSS S
8842-302196-0012,S SS THE FSS
8842-302196-0004,RS SSSL TOSSSCHS
8842-302196-0005,SSCHSS FSSS SSSCHTION SCHRCHS SPSSSSSSSS TO SSPS TO SSSS
8842-302196-0011,S SS THES
8842-302196-0007,CH TOCHSS FS SS SSS
8842-302196-0002,TIONSSSS TOSCH TOP
8842-302196-0008,SCHCHSS TSS
8842-302196-0006,SSSSSS TO
8842-302196-0003,T TORSDCHSSCHSSS THE SCH
8842-302196-0000,SHESCH TSSSSS ANDS TOS PSSSCH TOSS
8842-304647-0008,PS BCHSCHCH SPCHSCH
8842-304647-0007,T
8842-304647-0005,THE BPSCH
8842-304647-0013,THES S FS SS TO SS BSP F THE P
8842-304647-0006,THEPSS FPSSS THES THE S THESSCH B THE TOP THECHS FSS TSS S FSSSCHP BP BS
8842-304647-0000,S BSSLS PCH FSTS TO
8842-304647-0010,S THELCH THECHCH SS S STCHTS T BSP S
8842-304647-0003,SLSPPSSTPCH THESPSCH
8842-304647-0012,TOSCH
8842-304647-0009,S SD F B TOS SSP TOTSSSPS
8842-304647-0001,CH PST
8842-304647-0002,FSSSCH THE F THEPSL BCH BSSS TOS BS TOS SS SLPSS PSTSP GSSSCHCH
8842-304647-0011,L B TO THESSS SSSS
8842-304647-0004,SS BSS THE SSSS SSTSS
8131-117017-0013,THESCH TSS
8131-117017-0009,STSPP TOCHSCH
8131-117017-0023,SCHCHS
8131-117017-0004,SSSCH
8131-117017-0005,S
8131-117017-0026,BTT THES THE TO
8131-117017-0019,F TOS
8131-117017-0002,S FSTS SSSSCHS SSSS
8131-117017-0001,PTSSTS S
8131-117017-0032,S
8131-117017-0024,CH S S THE
8131-117017-0012,ANDSCHT TO S S TO
8131-117017-0015,S
8131-117017-0016,SCHP
8131-117017-0018,SS
8131-117017-0031,TOS TOP
8131-117017-0022,THES TCH S THE S SS
8131-117017-0006,S S
8131-117017-0025,SSS FS THECHP
8131-117017-0003,THE S SCHS TS
8131-117017-0020,CH T TO S S
8131-117017-0029,THESSS TO SS
8131-117017-0027,THES THECH S
8131-117017-0021,FSR TOP SS
8131-117017-0008,S THETION TO TO TO TO THE SCH THECHPPS STIONS
8131-117017-0028,THECHP THECHS
8131-117017-0000,S S FSSCHC TO BCH TOS TOS TOSS
8131-117017-0011,SHETS THE
8131-117017-0030,CSPS SSSCHS SCHSPSS TOPPS S SSPS
8131-117017-0014,CHS TOSPCH SP
8131-117017-0007,SSS B
8131-117017-0010,SCHPC TOPCHT
8131-117017-0017,CH SSCH TOCH FS S
8131-117016-0046,THESSS THECHSCH
8131-117016-0044,S TSPS
8131-117016-0059,S STCH
8131-117016-0024,SSP THES
8131-117016-0030,SS TO W
8131-117016-0017,SCHS S
8131-117016-0008,FTIONSPS
8131-117016-0051,THE TCHCHS
8131-117016-0026,ANDSST
8131-117016-0040,FSSP S
8131-117016-0048,S TO
8131-117016-0056,SSSCHSS
8131-117016-0020,THES SS B SSS FCHTSS SSS S B
8131-117016-0037,SCH T PDSSPSS
8131-117016-0032,STIONCHCHSCHS
8131-117016-0002,SSSS THE TOSS THES B THE B SPS
8131-117016-0009,P SS BSS S TO
8131-117016-0058,THECHSSSSRSS
8131-117016-0013,TOT SPS
8131-117016-0045,S TOCHS
8131-117016-0027,S BSS
8131-117016-0021,CHSSSS S TO THES
8131-117016-0054,S F THES THET FS T THE
8131-117016-0038,THE S
8131-117016-0041,SCHCHCH BST
8131-117016-0034,OF TO T
8131-117016-0022,THESCHS S SSS T THE
8131-117016-0061,P TSS S TO
8131-117016-0035,THECH
8131-117016-0043,PSS AND
8131-117016-0016,SHESS
8131-117016-0010,FRSS
8131-117016-0049,THE S SSSSP
8131-117016-0003,THE S S TOCH SS
8131-117016-0018,PS THE
8131-117016-0012,SSCH TO STIONCHS SPS
8131-117016-0011,CH SPCH SSCHSSCHSS
8131-117016-0052,S TOP SPP
8131-117016-0036,TSSSCHCH TS
8131-117016-0005,S FCHSCHS TO TSS
8131-117016-0053,S THEPSS SCHSPS TOER TO
8131-117016-0057,THETS THE SS THES
8131-117016-0019,T TO TO
8131-117016-0042,TT SCH S
8131-117016-0047,THE THES TSS
8131-117016-0033,FSS SSS S
8131-117016-0039,S THESPP SS SS THE
8131-117016-0050,TION TOS
8131-117016-0031,THECHS THES TO SCH THE OFCHARS
8131-117016-0006,SHE OFS SLSTIONP TOSCHSS
8131-117016-0055,SST
8131-117016-0029,S S
8131-117016-0028,S TOS TERS
8131-117016-0014,THESS TOCHSSP TS
8131-117016-0060,SSS THECHSS
8131-117016-0015,THECHP SCHS S SSS
8131-117016-0007,TOS STSS
8131-117016-0001,SSCHS TOCH
8131-117016-0004,S FERS TO THESS SSSCH TOSCH
8131-117016-0025,SD SS SS
8131-117016-0000,T
8131-117016-0023,F SDT FCHCHS
8131-117029-0005,TT
8131-117029-0008,SSS
8131-117029-0021,SCH
8131-117029-0001,THETTIONS S
8131-117029-0018,SSSCHCHCH
8131-117029-0002,WCH
8131-117029-0014,SSS
8131-117029-0019,SPCH
8131-117029-0009,THECHS
8131-117029-0010,THESS THE OFCHSCHPS THESS OFD TOS
8131-117029-0022,RSDSCHS
8131-117029-0015,SCH TO SS THECHSS
8131-117029-0017,S TCHCHSCH TO S
8131-117029-0013,THES
8131-117029-0016,CHS TO
8131-117029-0003,THESPCH TOSSS
8131-117029-0011,SCHS TS SPCHSSSCH THE SS
8131-117029-0007,SS STS WCHS TO S THE SS
8131-117029-0004,CHSTIONTSPP THES
8131-117029-0006,SSCH TOCH
8131-117029-0000,THES F F SCH THE S
8131-117029-0012,THESSS
8131-117029-0020,TOPSSS
2412-153947-0001,SSTP THET
2412-153947-0004,TSSTSP TOCHCHSS THESS TOPSS S
2412-153947-0000,THESSTT
2412-153947-0012,ANDSSPS
2412-153947-0009,SDPS TO THE SS TOSPLPS TOCHSS
2412-153947-0003,TOPSSSP THELP THE TO TOPS BSPS TO
2412-153947-0015,S TSPSPT THE THESS PTSTT
2412-153947-0011,YCH TO SSS BPSSED THEPSPSSTS TOS
2412-153947-0005,SP BP THEPPTSS FPSSSSSSSPP SHESCHSP FSPSS
2412-153947-0006,THE FT TO BS TOPS BS SLSS TOSSSCH
2412-153947-0008,SPPTST TOPSSPS THEP ANDPS TOPSPPCHPSPESSP
2412-153947-0007,SPSPS SP TOSS THEPTSSSSCHS
2412-153947-0002,SS THESSS BSSSP
2412-153947-0016,SINGPLSS
2412-153947-0010,S FTPS TOPSSS SS TOS ANDSCHSST SYT TOSCH TOSS
2412-153947-0013,FS TOSS B TOS THESSPT
2412-153947-0014,TO TOS TOS SS TOSSSSEDPTS TO
2412-153948-0009,SSSSSY TOS
2412-153948-0007,THES TOS STPSPPS FSSSS THE TO
2412-153948-0000,SSSSSSSSSSSTTS TO TOSS
2412-153948-0004,S TOS TOPSTSPSPSSPT THE W SSSTPSSS THE TOS SS FPSPT THES S TOT TOSLT
2412-153948-0011,SS S THE SDPPSPSSS THEPSSSPT
2412-153948-0015,S FSSPT P
2412-153948-0013,ANDST TO FTSP B TOT SSY
2412-153948-0003,SSSS TOSSS AND SSSPSSS
2412-153948-0006,S SS ANDS STPSPS THE S THESPEDPSSP THEPS ANDPS
2412-153948-0012,SS F THEPP
2412-153948-0008,PSS TOPSTSS TOSPS TOT
2412-153948-0005,SS
2412-153948-0001,SSS AND TO THESSS THESPT THE
2412-153948-0014,ANDSSS SSS SCHP TOS
2412-153948-0002,SSS THED S
2412-153948-0010,CHSSP
2412-153954-0021,CHSS TOSSLS
2412-153954-0012,FSPSPLCHSSS
2412-153954-0004,SS SSSS SPSCHS THESS THETS
2412-153954-0019,TSS FSP TOS
2412-153954-0014,SS PPSS TO THESS TOSS TO TO TOSP SS TO
2412-153954-0018,FPS AND TO TOSSSSPSCHSTPSS
2412-153954-0006,S S ANDS TOPLPS THETP
2412-153954-0005,CHSSS BSSP
2412-153954-0009,THES TOSPSPSS SSS F THEPSPCHCH TO
2412-153954-0020,THEL THESS THESP
2412-153954-0015,S FSPS TOPCHSSSP TOPSTP FPSS
2412-153954-0000,SHETPSSSPSSPEDS FS ANDPPTS S
2412-153954-0022,S TO FSS
2412-153954-0013,SCHSSS
2412-153954-0024,HESSSL
2412-153954-0002,F TO TOP
2412-153954-0023,S F
2412-153954-0011,SPPSSS B TOP
2412-153954-0007,SSSPPPS TOS TOPSS THE
2412-153954-0016,TOSSLP F FSSPS SPS
2412-153954-0001,YS TOPSPP THE THEP TO TOS
2412-153954-0003,FS S SSSP BS
2412-153954-0008,SSSF
2412-153954-0017,PLPSS THE SPS FST
2412-153954-0010,SL SPCH THEP
7018-75789-0018,SP SSSSCHS F AND THE S SSSSSSS SCHSTST
7018-75789-0015,B BS THESS FSTS F STS TO TOTCH
7018-75789-0024,SHE SSSSCHS THE SSSCHS SSSCHSPSS SSSTS
7018-75789-0007,SSSSS AND FS TO THESS
7018-75789-0016,T TOSTSST B TOSCHS S SD
7018-75789-0012,S SS THECHSSCHSPS
7018-75789-0030,SSSSS TSSS
7018-75789-0006,THESS F
7018-75789-0023,S SCHSCHS
7018-75789-0025,SCH S B THES
7018-75789-0009,SD F S ANDS TOT SSS ANDTSPS
7018-75789-0003,YTSS TSCHSP T THESPCH
7018-75789-0005,TOSS FSSS SS SSSRT TOSSSS
7018-75789-0014,S THESS FPSPS THE THESSPT
7018-75789-0028,THETS TAS T SS ANDS TCH ST SDSSS AND ST TO TOS THEPSSS BSSTS
7018-75789-0011,SHE SS TOS THES S SCHT SSSSSS TODSSS THE S THE SSS S TO THES FSSS THESS
7018-75789-0001,SS S SCHTSSCHSST TOTSRTCHSCH SS SSSSPSDCHSCH SR AND TO TO SS
7018-75789-0019,TIONSSSSS THESS WSS
7018-75789-0017,SST S TO B THE SS THESCH
7018-75789-0020,SS TOCHCHSS FSCHS T SS TOCHS TOS FP SS
7018-75789-0021,SSSSSSCH FS TOCH
7018-75789-0002,P SP ST SDTIONSSP S THE FSS SSS
7018-75789-0000,SSCHSSSS
7018-75789-0013,SSS FSST SSCHSSP
7018-75789-0010,S F SS S
7018-75789-0004,T S PSSS THESCH THES SR SS THESSPCHS THESS SSS SSSPCHCH
7018-75789-0022,T S F SS FCHCHS SSST THESS
7018-75789-0008,S ANDSCHS S TOS TCHSS THE SP SRS ANDSSSSPCHST THEPS
7018-75789-0029,THE S S SSTTCH TO SS TOSS THE THECHS TOPSS SD ANDSS THESPTSSS THECH SSTION THE THE F SP F THE STIONS S THES SP S SPSS
7018-75789-0031,S BSS SCH TS SP THE TO SSSSTSS TOSCHS THES
7018-75789-0027,S THEPTSPT THES SPS S S TPSP SSPS TO FCHST SCHS
7018-75789-0026,ANDS SS FCH ANDCH COPPTCHSLPSCHSSS AND THE AND TYS TO SS S STIONS TO SS TO TO S SS SS F TOS AND TSCHSSS
7018-75788-0007,ANDSSSSCHS SCHSSS BCHS THEPS TOPTPD THESS THESS S
7018-75788-0013,AND S TO SSSTP TOS TOPS THES TT SS TOSS SCHCHP P
7018-75788-0015,SSCHSSS ST
7018-75788-0004,ST ST SCHSCH
7018-75788-0018,S TOCHSR S THESSSCH OF TOSTSS FSST F BS THEP TO B THETS BTIONSSS
7018-75788-0010,THE SS SS S TOPS
7018-75788-0016,SCH SSPSTSPSS
7018-75788-0000,TO SS TS SSSSDCHCHSSY TO
7018-75788-0008,CHS SS THEP SS SP S
7018-75788-0006,TSTCHS S SS ST SSCH THETSPPS
7018-75788-0009,S SSSS
7018-75788-0017,BS S TSPT SSPST TOSCHSSSSSCHCHSCHS FT SS
7018-75788-0019,THE THESSS SS THES THEPS
7018-75788-0005,SPCHSP T STSS ST SCHCHCH B FS
7018-75788-0001,ANDST T THE PCH SCHS
7018-75788-0014,SCH S SCHSDS SPSPS S BS
7018-75788-0012,SS SS TO TOSS P ST
7018-75788-0011,THEPT TOPTSSSSS SS T SSTSSS SSS
7018-75788-0002,S S T F SCT
7018-75788-0003,BLS BYS S TSSD SSSST TST TOCHCHSP TO
6938-70848-0004,PTDTS
6938-70848-0028,ANDSSPSSPS TOCHING
6938-70848-0010,SSCH TOSS SS
6938-70848-0030,TOCHP SSCHS F
6938-70848-0013,AND TO SHET
6938-70848-0019,P THEPT TOP S SHETSSS TOTS THE SSCHCHCHS
6938-70848-0017,TOSS FS TOINGT FCHT
6938-70848-0024,THEP THEP SS TOSSCH T THE
6938-70848-0003,CHS TOS S
6938-70848-0001,THE SSSS
6938-70848-0016,DPCHCHSD TO TOSCHS
6938-70848-0014,S TOS THEP S
6938-70848-0000,S TOT PT
6938-70848-0011,F TOCH S
6938-70848-0025,SPPCH
6938-70848-0020,THECHS TO F PT
6938-70848-0008,SDCHCHT THES
6938-70848-0009,SS SS
6938-70848-0029,SHE TOPSTS
6938-70848-0023,THECH FSS PT
6938-70848-0022,THESSSPCHSS THECH THE SCH TOSSSSS
6938-70848-0005,TOD TODS SING TO
6938-70848-0007,SSP F S TOTPS S
6938-70848-0012,THE B THE S TO TOS P
6938-70848-0027,THESTSING TOS SS SP
6938-70848-0015,THET F TOTS THET TO SS TOSTSCHT PD S
6938-70848-0018,S TOS TO S SHECHS TOSSSTSTS
6938-70848-0021,SS THEP
6938-70848-0002,S S TOS
6938-70848-0006,PTSS TO THEPL TOCH THET TO TO
6938-70848-0026,CHS SS
1272-141231-0007,S THES TOSTION
1272-141231-0002,THESCHS TOS TTSDSSTSSS SSSSPTSRSSSS THE
1272-141231-0000,TOS S SS
1272-141231-0025,SPCS THES TOS TOS SS
1272-141231-0023,S S TSS FSS BSSS SSYS
1272-141231-0016,SS
1272-141231-0004,S SD THE THES S
1272-141231-0024,SSSCHS
1272-141231-0030,SSSSS TOPPSS THE TOS
1272-141231-0029,SSS TOSS TOS THESSCH
1272-141231-0019,THET SSSS
1272-141231-0032,STIONSS ST
1272-141231-0022,F TO THETSCHSSSSC SSSTT
1272-141231-0010,THE THE S SS T TO THES TO THE SSSSSS
1272-141231-0008,SS SSSSSS
1272-141231-0021,THES THESS
1272-141231-0011,S TOCH S
1272-141231-0005,SSS TO THESP
1272-141231-0003,SSSPS F BS THESCHST
1272-141231-0018,S THESSPS TOCH
1272-141231-0015,TO S TO F THESSST
1272-141231-0012,SSSPTSS BD S S
1272-141231-0020,SS TO THE THE TS T
1272-141231-0028,THESSCH THE THESS
1272-141231-0027,THE THES S S S TOSST F
1272-141231-0001,STSP THES S
1272-141231-0014,SSPSS THE
1272-141231-0031,S TO SSTSTS
1272-141231-0006,S T TSS TOS S
1272-141231-0017,S TOSSTSS
1272-141231-0013,S
1272-141231-0026,SP THE SSSPP TOS SISS
1272-141231-0009,SSSSSTS TOSSSSSSSS
1272-135031-0012,S
1272-135031-0008,S SCH
1272-135031-0021,TO TCH
1272-135031-0006,SLTSYD
1272-135031-0007,SSSSP
1272-135031-0003,THE SP THEA THEST
1272-135031-0000,ST SSSSSS FCHS S
1272-135031-0001,S THESSS OFSS THE S THES TOSS TOSS
1272-135031-0014,S
1272-135031-0011,SS
1272-135031-0023,SCHS SSS
1272-135031-0020,SCHTS
1272-135031-0004,CHSS SSSS THE
1272-135031-0005,T S
1272-135031-0002,SSS THE SSSSSSSSSSSD TS
1272-135031-0017,THE F OFCHY SSSS
1272-135031-0019,SST
1272-135031-0015,TOCSSSSSP
1272-135031-0024,OF TS THE SS TOSS THE SS S TO SS
1272-135031-0009,S
1272-135031-0010,SSSSTSSSS SSSSS TO TOS
1272-135031-0022,CH
1272-135031-0013,CHD TO FS
1272-135031-0018,CH
1272-135031-0016,BS
1272-128104-0006,ANDSTCH TOSSSS
